name,top1_acc,top3_acc,macro_f1,macro_precision,macro_recall
swin_t_cross_attention_mlp,0.932092004381161,0.9846659364731654,0.7595831205321188,0.7586263167494315,0.7613478696145684
swin_t_cross_attention_linear,0.9342825848849945,0.9857612267250822,0.7643743440218178,0.7640788149718782,0.7653791150739104
swin_t_concat_mlp,0.9288061336254108,0.9868565169769989,0.7625270634834236,0.7638509905185691,0.7624958593944547
swin_t_concat_linear,0.9299014238773274,0.9835706462212487,0.7609110000915444,0.7611485198078338,0.7615938222397054
efficientnet_b3_cross_attention_mlp,0.9244249726177437,0.9791894852135816,0.7590793145512006,0.7577341724381579,0.760673792421269
efficientnet_b3_cross_attention_linear,0.940854326396495,0.9824753559693319,0.7687153388438474,0.7698349518639083,0.7684116279535721
efficientnet_b3_concat_mlp,0.9255202628696605,0.9813800657174151,0.7587164035276807,0.7596255171309065,0.758524182262913
efficientnet_b3_concat_linear,0.9375684556407448,0.9879518072289156,0.7669795003622162,0.766940551513646,0.7674012644425876
mobilenet_cross_attention_mlp,0.9375684556407448,0.9835706462212487,0.7670573959991122,0.7674687256738604,0.7671398203575089
mobilenet_cross_attention_linear,0.940854326396495,0.9857612267250822,0.7685778673046565,0.7687445252893761,0.768854203810702
mobilenet_concat_mlp,0.9375684556407448,0.9813800657174151,0.7669320685688462,0.7680968266005614,0.7662220438573939
mobilenet_concat_linear,0.9342825848849945,0.9901423877327492,0.7628665902251409,0.7620146233756238,0.764494119296941
vgg19_cross_attention_mlp,0.9309967141292442,0.9868565169769989,0.7629100268394933,0.764364327712134,0.7624689681692178
vgg19_cross_attention_linear,0.9386637458926615,0.9857612267250822,0.7682451224341036,0.7695679867362546,0.7675357441703115
vgg19_concat_mlp,0.9299014238773274,0.9824753559693319,0.7611854018953936,0.7631900150862299,0.7605708698451513
vgg19_concat_linear,0.9299014238773274,0.9879518072289156,0.7614465874026541,0.7602167953576182,0.7632301312805121
