backbone,fusion,head,name,lr,weight_decay,label_smoothing,dropout,batch_size,test_accuracy,top3_accuracy,best_val
swin_t,cross_attention,mlp,triple_swin_t_cross_attention_mlp,3.3709409748514875e-05,1.0868341103320915e-06,0.0659775665835287,0.1844714583774515,16,0.8992537313432836,0.9807213930348259,0.9011194029850746
swin_t,concat,linear,triple_swin_t_concat_linear,3.0955664602423724e-05,5.415244119402541e-06,0.0608484485919075,0.2099025726528951,32,0.8949004975124378,0.9856965174129353,0.8961442786069652
mobilenet,cross_attention,mlp,triple_mobilenet_cross_attention_mlp,3.3709409748514875e-05,1.0868341103320915e-06,0.0659775665835287,0.1844714583774515,16,0.8936567164179104,0.9813432835820896,0.902363184079602
efficientnet_b3,cross_attention,linear,triple_efficientnet_b3_cross_attention_linear,2.065357702023736e-05,0.0014566096837677,0.0937410437775684,0.3157908265277859,8,0.8911691542288557,0.9776119402985075,0.8986318407960199
vgg19,concat,linear,triple_vgg19_concat_linear,3.0955664602423724e-05,5.415244119402541e-06,0.0608484485919075,0.2099025726528951,32,0.8911691542288557,0.9751243781094527,0.8949004975124378
vgg19,cross_attention,mlp,triple_vgg19_cross_attention_mlp,3.3709409748514875e-05,1.0868341103320915e-06,0.0659775665835287,0.1844714583774515,16,0.8899253731343284,0.9800995024875622,0.8930348258706468
mobilenet,concat,linear,triple_mobilenet_concat_linear,3.0955664602423724e-05,5.415244119402541e-06,0.0608484485919075,0.2099025726528951,32,0.8893034825870647,0.9800995024875622,0.8855721393034826
efficientnet_b3,cross_attention,mlp,triple_efficientnet_b3_cross_attention_mlp,3.3709409748514875e-05,1.0868341103320915e-06,0.0659775665835287,0.1844714583774515,16,0.8818407960199005,0.9838308457711443,0.8905472636815921
vgg19,cross_attention,linear,triple_vgg19_cross_attention_linear,2.065357702023736e-05,0.0014566096837677,0.0937410437775684,0.3157908265277859,8,0.8799751243781094,0.9776119402985075,0.8861940298507462
mobilenet,cross_attention,linear,triple_mobilenet_cross_attention_linear,1.8313533274607563e-05,3.1729035223498543e-06,0.0369120341429152,0.3157908265277859,8,0.8781094527363185,0.9794776119402985,0.8830845771144279
efficientnet_b3,concat,linear,triple_efficientnet_b3_concat_linear,3.0955664602423724e-05,5.415244119402541e-06,0.0608484485919075,0.2099025726528951,32,0.8768656716417911,0.9856965174129353,0.8824626865671642
swin_t,cross_attention,linear,triple_swin_t_cross_attention_linear,2.065357702023736e-05,0.0014566096837677,0.0937410437775684,0.3157908265277859,8,0.8756218905472637,0.9788557213930348,0.878731343283582
mobilenet,concat,mlp,triple_mobilenet_concat_mlp,3.154399030833095e-05,0.0075568101412744,0.1550265646722229,0.3757995766256756,32,0.8606965174129353,0.9844527363184079,0.8638059701492538
efficientnet_b3,concat,mlp,triple_efficientnet_b3_concat_mlp,3.154399030833095e-05,0.0075568101412744,0.1550265646722229,0.3757995766256756,32,0.849502487562189,0.9776119402985075,0.8588308457711443
swin_t,concat,mlp,triple_swin_t_concat_mlp,3.154399030833095e-05,0.0075568101412744,0.1550265646722229,0.3757995766256756,32,0.8420398009950248,0.9776119402985075,0.8563432835820896
vgg19,concat,mlp,triple_vgg19_concat_mlp,3.154399030833095e-05,0.0075568101412744,0.1550265646722229,0.3757995766256756,32,0.8333333333333334,0.9825870646766169,0.8507462686567164
